izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
42        3.239460e-01    2.084400e+15    5.143507e-01    9.200347e-01    1.302942e-01    3.359009e-01    7.976155e-01    1.288558e+00    1.737890e+00    1.989512e+00    1.885097e+00    1.607172e+00    1.160005e+00    9.196019e-01    8.500143e-01    7.637889e-01    5.896854e-01
43        3.324567e-01    2.101248e+15    5.026657e-01    8.990457e-01    1.272573e-01    3.282002e-01    7.795004e-01    1.258760e+00    1.697224e+00    1.942539e+00    1.840426e+00    1.569023e+00    1.132449e+00    8.977534e-01    8.298185e-01    7.456412e-01    5.756740e-01
44        3.410041e-01    2.145744e+15    4.914504e-01    8.788471e-01    1.243436e-01    3.208151e-01    7.620794e-01    1.230053e+00    1.658007e+00    1.897192e+00    1.797283e+00    1.532169e+00    1.105824e+00    8.766432e-01    8.103052e-01    7.281067e-01    5.621358e-01
45        3.496075e-01    2.165184e+15    4.805739e-01    8.592130e-01    1.215189e-01    3.136582e-01    7.451552e-01    1.202120e+00    1.619815e+00    1.852990e+00    1.755213e+00    1.496222e+00    1.079853e+00    8.560504e-01    7.912699e-01    7.110017e-01    5.489292e-01
46        3.581894e-01    2.204496e+15    4.700042e-01    8.400921e-01    1.187749e-01    3.067078e-01    7.286825e-01    1.174893e+00    1.582558e+00    1.809836e+00    1.714125e+00    1.461108e+00    1.054481e+00    8.359316e-01    7.726728e-01    6.942903e-01    5.360265e-01
47        3.667499e-01    2.223936e+15    4.597916e-01    8.215817e-01    1.161244e-01    2.999962e-01    7.127434e-01    1.148514e+00    1.546436e+00    1.767964e+00    1.674246e+00    1.427021e+00    1.029848e+00    8.163991e-01    7.546176e-01    6.780659e-01    5.234996e-01
48        3.750346e-01    2.263680e+15    4.499203e-01    8.036551e-01    1.135633e-01    2.935128e-01    6.973147e-01    1.122946e+00    1.511400e+00    1.727321e+00    1.635525e+00    1.393917e+00    1.005923e+00    7.974281e-01    7.370814e-01    6.623076e-01    5.113326e-01
49        3.902739e-01    2.295216e+15    4.406570e-01    7.868037e-01    1.111605e-01    2.874319e-01    6.828177e-01    1.098895e+00    1.478420e+00    1.689039e+00    1.599043e+00    1.362722e+00    9.833767e-01    7.795493e-01    7.205547e-01    6.474566e-01    4.998660e-01
50        4.048997e-01    2.360880e+15    4.242400e-01    7.568695e-01    1.069039e-01    2.766630e-01    6.570809e-01    1.056130e+00    1.419730e+00    1.620852e+00    1.534038e+00    1.307127e+00    9.431898e-01    7.476815e-01    6.910969e-01    6.209853e-01    4.794273e-01
51        4.201812e-01    2.396304e+15    4.092354e-01    7.294346e-01    1.030157e-01    2.668295e-01    6.335090e-01    1.016894e+00    1.365829e+00    1.558168e+00    1.474253e+00    1.255983e+00    9.062156e-01    7.183605e-01    6.639932e-01    5.966294e-01    4.606217e-01
52        4.346103e-01    2.462832e+15    3.943014e-01    7.020619e-01    9.914830e-02    2.570509e-01    6.100044e-01    9.777111e-01    1.311960e+00    1.495467e+00    1.414431e+00    1.204796e+00    8.692065e-01    6.890113e-01    6.368632e-01    5.722498e-01    4.417977e-01
53        4.435754e-01    2.493072e+15    3.808512e-01    6.773572e-01    9.566727e-02    2.482506e-01    5.888012e-01    9.423210e-01    1.263272e+00    1.438756e+00    1.360308e+00    1.158477e+00    8.357138e-01    6.624502e-01    6.123105e-01    5.501860e-01    4.247618e-01
54        4.524555e-01    2.536272e+15    3.728454e-01    6.626295e-01    9.359628e-02    2.430156e-01    5.761657e-01    9.212118e-01    1.234217e+00    1.404896e+00    1.327985e+00    1.130811e+00    8.157077e-01    6.465843e-01    5.976443e-01    5.370065e-01    4.145855e-01
55        4.607864e-01    2.554848e+15    3.651631e-01    6.484825e-01    9.160961e-02    2.379941e-01    5.640311e-01    9.009279e-01    1.206289e+00    1.372338e+00    1.296901e+00    1.104204e+00    7.964660e-01    6.313244e-01    5.835383e-01    5.243303e-01    4.047979e-01
56        4.691676e-01    2.597184e+15    3.581451e-01    6.355463e-01    8.979529e-02    2.334084e-01    5.529376e-01    8.823736e-01    1.180735e+00    1.342538e+00    1.268447e+00    1.079845e+00    7.788494e-01    6.173534e-01    5.706235e-01    5.127247e-01    3.958368e-01
57        4.782464e-01    2.617920e+15    3.512640e-01    6.228513e-01    8.801684e-02    2.289137e-01    5.420532e-01    8.641600e-01    1.155643e+00    1.313269e+00    1.240496e+00    1.055915e+00    7.615431e-01    6.036282e-01    5.579361e-01    5.013234e-01    3.870335e-01
