# Energy(keV) Counts
1.284110e+00 2.984663e+06
1.285175e+00 2.982892e+06
1.286242e+00 2.981233e+06
1.287309e+00 2.976785e+06
1.288377e+00 2.971929e+06
1.289446e+00 2.970339e+06
1.290516e+00 2.967863e+06
1.291587e+00 2.967425e+06
1.292658e+00 2.959564e+06
1.293731e+00 2.957730e+06
1.294805e+00 2.954981e+06
1.295879e+00 2.953439e+06
1.296954e+00 2.950403e+06
1.298030e+00 2.947459e+06
1.299107e+00 2.944122e+06
1.300185e+00 2.942761e+06
1.301264e+00 2.937658e+06
1.302344e+00 2.935199e+06
1.303424e+00 2.933315e+06
1.304506e+00 2.932128e+06
1.305588e+00 2.928410e+06
1.306672e+00 2.924984e+06
1.307756e+00 2.923404e+06
1.308841e+00 2.917731e+06
1.309927e+00 2.914747e+06
1.311014e+00 2.912189e+06
1.312102e+00 2.912447e+06
1.313190e+00 2.910334e+06
1.314280e+00 2.905986e+06
1.315371e+00 2.901555e+06
1.316462e+00 2.900775e+06
1.317554e+00 2.894837e+06
1.318648e+00 2.894156e+06
1.319742e+00 2.890854e+06
1.320837e+00 2.889162e+06
1.321933e+00 2.885051e+06
1.323030e+00 2.881881e+06
1.324127e+00 2.879547e+06
1.325226e+00 2.878162e+06
1.326326e+00 2.875063e+06
1.327426e+00 2.871741e+06
1.328528e+00 2.869507e+06
1.329630e+00 2.868166e+06
1.330733e+00 2.861781e+06
1.331837e+00 2.860716e+06
1.332943e+00 2.858014e+06
1.334049e+00 2.857858e+06
1.335155e+00 2.851777e+06
1.336263e+00 2.850127e+06
1.337372e+00 2.849604e+06
1.338482e+00 2.842434e+06
1.339592e+00 2.844535e+06
1.340704e+00 2.840864e+06
1.341816e+00 2.836878e+06
1.342930e+00 2.834755e+06
1.344044e+00 2.829874e+06
1.345159e+00 2.830206e+06
1.346275e+00 2.826021e+06
1.347392e+00 2.822137e+06
1.348510e+00 2.822125e+06
1.349629e+00 2.817156e+06
1.350749e+00 2.816069e+06
1.351870e+00 2.812999e+06
1.352992e+00 2.812526e+06
1.354114e+00 2.807139e+06
1.355238e+00 2.806552e+06
1.356362e+00 2.801243e+06
1.357488e+00 2.800231e+06
1.358614e+00 2.797452e+06
1.359742e+00 2.796067e+06
1.360870e+00 2.791627e+06
1.361999e+00 2.789119e+06
1.363129e+00 2.789862e+06
1.364260e+00 2.782647e+06
1.365392e+00 2.780232e+06
1.366525e+00 2.776820e+06
1.367659e+00 2.774514e+06
1.368794e+00 2.772543e+06
1.369929e+00 2.770487e+06
1.371066e+00 2.766766e+06
1.372204e+00 2.762999e+06
1.373342e+00 2.762220e+06
1.374482e+00 2.756315e+06
1.375622e+00 2.756920e+06
1.376764e+00 2.751500e+06
1.377906e+00 2.754584e+06
1.379050e+00 2.751161e+06
1.380194e+00 2.745400e+06
1.381339e+00 2.745191e+06
1.382485e+00 2.738111e+06
1.383632e+00 2.736893e+06
1.384780e+00 2.732571e+06
1.385929e+00 2.733006e+06
1.387079e+00 2.730072e+06
1.388230e+00 2.728809e+06
1.389382e+00 2.723757e+06
1.390535e+00 2.723774e+06
1.391689e+00 2.720238e+06
1.392844e+00 2.717272e+06
1.393999e+00 2.712667e+06
1.395156e+00 2.715616e+06
1.396314e+00 2.707386e+06
1.397472e+00 2.705629e+06
1.398632e+00 2.704082e+06
1.399792e+00 2.703009e+06
1.400954e+00 2.698270e+06
1.402116e+00 2.698377e+06
1.403280e+00 2.694999e+06
1.404444e+00 2.690056e+06
1.405609e+00 2.690442e+06
1.406776e+00 2.686372e+06
1.407943e+00 2.682692e+06
1.409111e+00 2.682938e+06
1.410280e+00 2.677247e+06
1.411450e+00 2.674604e+06
1.412622e+00 2.670976e+06
1.413794e+00 2.671704e+06
1.414967e+00 2.667678e+06
1.416141e+00 2.666220e+06
