# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 2.0000000000000000e+02
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
133	2.43129600e+16	1.40700000e+09	1.27514393e-17	7.37604592e-01	2.62395408e-01	0.00000000e+00	1.22792002e+00
134	2.44684800e+16	1.41600000e+09	1.10171460e-17	7.41032334e-01	2.58967666e-01	0.00000000e+00	1.23435995e+00
135	2.46240000e+16	1.42500000e+09	1.08543730e-17	7.45906850e-01	2.54093150e-01	0.00000000e+00	1.24078591e+00
136	2.47968000e+16	1.43500000e+09	1.15906313e-17	7.53657535e-01	2.46342465e-01	0.00000000e+00	1.24851249e+00
137	2.50041600e+16	1.44700000e+09	9.39252776e-18	7.62406540e-01	2.37593460e-01	0.00000000e+00	1.25614206e+00
138	2.52115200e+16	1.45900000e+09	9.45222975e-18	7.78271335e-01	2.21728665e-01	0.00000000e+00	1.26394855e+00
139	2.54016000e+16	1.47000000e+09	1.03726645e-17	8.06920148e-01	1.93079852e-01	0.00000000e+00	1.27192611e+00
140	2.55398400e+16	1.47800000e+09	1.37463003e-17	8.68388907e-01	1.31611093e-01	0.00000000e+00	1.27971504e+00
141	2.56780800e+16	1.48600000e+09	1.32174745e-17	9.99982722e-01	1.72782903e-05	0.00000000e+00	1.28728585e+00
142	2.58508800e+16	1.49600000e+09	1.07780302e-17	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.29509678e+00
143	2.60236800e+16	1.50600000e+09	1.10821723e-17	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.30323621e+00
144	2.62310400e+16	1.51800000e+09	8.70925639e-18	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.31102508e+00
145	2.63865600e+16	1.52700000e+09	1.26224500e-17	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.31960945e+00
146	2.66284800e+16	1.54100000e+09	7.64995077e-18	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.32782519e+00
147	2.69049600e+16	1.55700000e+09	6.64230100e-18	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.33613807e+00
148	2.72678400e+16	1.57800000e+09	4.74876700e-18	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.34412589e+00
149	2.83737600e+16	1.64200000e+09	1.51659860e-18	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.35232876e+00
150	2.93760000e+16	1.70000000e+09	7.87720542e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.35648789e+00
151	3.04992000e+16	1.76500000e+09	6.29722363e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.36049348e+00
152	3.13804800e+16	1.81600000e+09	8.14963828e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.36483751e+00
153	3.26419200e+16	1.88900000e+09	2.55507186e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.36692443e+00
154	3.31430400e+16	1.91800000e+09	5.87540446e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.36893702e+00
155	3.39206400e+16	1.96300000e+09	2.63969719e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37039523e+00
156	3.44044800e+16	1.99100000e+09	4.59931571e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37203611e+00
157	3.51820800e+16	2.03600000e+09	2.06712044e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37326555e+00
158	3.56832000e+16	2.06500000e+09	2.82326939e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37438778e+00
159	3.62534400e+16	2.09800000e+09	1.65404378e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37515874e+00
160	3.66508800e+16	2.12100000e+09	1.79558883e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37575785e+00
161	3.70310400e+16	2.14300000e+09	1.27616748e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37617387e+00
