5.3750E+09 2.6930E+08 2.2950E+02 0.0000E+00 3.8125E-08 5.6669E-13 0.0000E+00 9.8558E-13 1.0036E-14 5.5755E-15 6.8853E-09 7.1313E-08 1.9158E-07 2.0101E-06 1.6051E-08 4.6679E-04 4.2354E-03 1.0667E-03 1.6094E-02 9.7748E-03 3.2688E-03 6.6006E-08 0.0000E+00 0.0000E+00 9.5891E-01 0.0000E+00 0.0000E+00 2.7765E-11 2.7274E-10 2.4466E-09 1.2198E-13 0.0000E+00
5.5900E+09 2.7610E+08 2.2480E+02 0.0000E+00 4.1472E-08 5.6929E-13 0.0000E+00 1.0262E-12 1.1056E-14 6.0758E-15 7.7122E-09 8.1827E-08 2.2376E-07 2.3825E-06 1.9572E-08 4.4284E-04 2.6533E-03 1.0440E-03 2.3414E-02 1.1688E-02 2.4930E-03 3.6526E-08 0.0000E+00 0.0000E+00 9.5343E-01 0.0000E+00 0.0000E+00 2.7935E-11 2.7179E-10 2.1444E-09 1.0368E-13 0.0000E+00
5.7980E+09 2.8980E+08 2.1610E+02 0.0000E+00 4.4826E-08 5.6902E-13 0.0000E+00 1.0807E-12 1.2449E-14 6.9626E-15 9.2334E-09 9.9767E-08 2.7649E-07 2.9783E-06 2.5094E-08 4.1586E-04 1.5500E-03 9.9585E-04 3.5868E-02 1.4195E-02 1.8243E-03 1.9732E-08 0.0000E+00 0.0000E+00 9.4164E-01 0.0000E+00 0.0000E+00 3.1154E-11 2.9333E-10 1.9813E-09 9.1826E-14 0.0000E+00
5.9980E+09 2.9810E+08 2.1120E+02 0.0000E+00 4.4655E-08 5.1845E-13 0.0000E+00 1.2042E-12 1.3453E-14 1.1059E-14 1.8193E-08 1.9514E-07 5.3805E-07 5.8315E-06 4.8228E-08 3.4689E-04 4.0443E-04 7.9795E-04 9.5984E-02 2.1896E-02 8.0468E-04 5.2388E-09 0.0000E+00 0.0000E+00 8.7838E-01 0.0000E+00 0.0000E+00 4.3829E-11 3.8345E-10 1.8666E-09 9.0472E-14 0.0000E+00
6.1940E+09 3.1020E+08 2.0580E+02 0.0000E+00 4.5768E-08 5.1800E-13 0.0000E+00 1.2496E-12 1.3966E-14 1.2141E-14 2.0444E-08 2.1919E-07 6.0456E-07 6.5623E-06 5.4101E-08 3.3462E-04 3.2316E-04 7.6367E-04 1.1183E-01 2.3389E-02 7.0027E-04 4.2456E-09 0.0000E+00 0.0000E+00 8.6147E-01 0.0000E+00 0.0000E+00 4.6884E-11 4.0742E-10 1.8801E-09 9.2463E-14 0.0000E+00
6.4390E+09 3.2020E+08 1.9830E+02 0.0000E+00 4.7195E-08 5.1874E-13 0.0000E+00 1.2892E-12 1.4612E-14 1.3068E-14 2.2378E-08 2.3981E-07 6.6116E-07 7.1830E-06 5.9076E-08 3.2593E-04 2.7409E-04 7.3934E-04 1.2482E-01 2.4507E-02 6.3253E-04 3.6497E-09 0.0000E+00 0.0000E+00 8.4763E-01 0.0000E+00 0.0000E+00 5.0404E-11 4.3311E-10 1.9180E-09 9.5013E-14 0.0000E+00
6.6760E+09 3.3310E+08 1.9150E+02 0.0000E+00 4.8063E-08 4.8320E-13 0.0000E+00 1.3776E-12 1.5310E-14 1.7254E-14 3.1642E-08 3.3751E-07 9.2896E-07 1.0183E-05 8.2495E-08 2.8519E-04 1.3429E-04 6.3340E-04 1.9348E-01 2.9335E-02 4.0296E-04 2.0098E-09 0.0000E+00 0.0000E+00 7.7505E-01 0.0000E+00 0.0000E+00 5.9501E-11 5.0271E-10 1.9689E-09 1.0722E-13 0.0000E+00
6.9060E+09 3.4750E+08 1.8640E+02 0.0000E+00 5.2599E-08 4.6453E-13 0.0000E+00 1.4537E-12 1.7121E-14 1.9241E-14 3.6246E-08 3.9199E-07 1.0954E-06 1.2274E-05 1.0015E-07 2.5030E-04 7.8579E-05 5.5740E-04 2.5945E-01 3.2765E-02 2.8771E-04 1.3050E-09 0.0000E+00 0.0000E+00 7.0610E-01 0.0000E+00 0.0000E+00 6.5727E-11 5.4816E-10 1.9729E-09 1.1495E-13 0.0000E+00
7.1310E+09 3.5530E+08 1.8060E+02 0.0000E+00 5.6549E-08 4.5622E-13 0.0000E+00 1.5198E-12 1.8553E-14 1.8847E-14 3.5753E-08 3.9847E-07 1.1446E-06 1.3238E-05 1.1060E-07 2.1835E-04 4.9725E-05 4.9264E-04 3.2038E-01 3.5177E-02 2.1313E-04 8.9849E-10 0.0000E+00 0.0000E+00 6.4307E-01 0.0000E+00 0.0000E+00 6.3473E-11 5.3906E-10 1.7706E-09 1.1463E-13 0.0000E+00
7.2810E+09 3.6920E+08 1.6960E+02 0.0000E+00 6.3090E-08 4.5640E-13 0.0000E+00 1.5711E-12 2.0629E-14 1.7002E-14 3.1512E-08 3.6515E-07 1.0874E-06 1.3073E-05 1.1302E-07 1.9230E-04 3.5249E-05 4.4654E-04 3.6966E-01 3.6731E-02 1.7069E-04 6.7677E-10 0.0000E+00 0.0000E+00 5.9242E-01 0.0000E+00 0.0000E+00 5.7002E-11 4.9781E-10 1.5748E-09 1.0889E-13 0.0000E+00
7.4310E+09 3.7320E+08 1.6770E+02 0.0000E+00 6.8866E-08 4.5970E-13 0.0000E+00 1.6037E-12 2.2260E-14 1.5175E-14 2.6844E-08 3.2307E-07 9.9549E-07 1.2419E-05 1.1099E-07 1.7270E-04 2.7373E-05 4.1378E-04 4.0611E-01 3.7687E-02 1.4479E-04 5.4822E-10 0.0000E+00 0.0000E+00 5.5514E-01 0.0000E+00 0.0000E+00 4.8951E-11 4.4405E-10 1.3832E-09 1.0094E-13 0.0000E+00
7.5770E+09 3.8410E+08 1.6170E+02 0.0000E+00 7.5108E-08 4.6381E-13 0.0000E+00 1.6322E-12 2.4160E-14 1.3626E-14 2.2341E-08 2.7970E-07 8.9349E-07 1.1570E-05 1.0712E-07 1.5553E-04 2.1882E-05 3.8606E-04 4.3870E-01 3.8386E-02 1.2526E-04 4.5744E-10 0.0000E+00 0.0000E+00 5.2195E-01 0.0000E+00 0.0000E+00 4.2277E-11 3.9511E-10 1.2153E-09 9.3549E-14 0.0000E+00
7.7200E+09 3.8920E+08 1.6040E+02 0.0000E+00 8.2697E-08 4.6906E-13 0.0000E+00 1.6495E-12 2.6335E-14 1.2199E-14 1.7608E-08 2.3105E-07 7.6988E-07 1.0423E-05 1.0064E-07 1.3886E-04 1.7628E-05 3.6051E-04 4.7006E-01 3.8970E-02 1.0910E-04 3.8497E-10 0.0000E+00 0.0000E+00 4.9010E-01 0.0000E+00 0.0000E+00 3.4841E-11 3.3836E-10 1.0415E-09 8.4763E-14 0.0000E+00
7.8650E+09 3.9840E+08 1.5470E+02 0.0000E+00 9.1120E-08 4.7732E-13 0.0000E+00 1.6696E-12 2.8678E-14 1.1185E-14 1.3385E-08 1.8499E-07 6.4607E-07 9.1751E-06 9.2694E-08 1.2336E-04 1.4356E-05 3.3706E-04 4.9907E-01 3.9410E-02 9.5698E-05 3.2609E-10 0.0000E+00 0.0000E+00 4.6074E-01 0.0000E+00 0.0000E+00 2.7662E-11 2.8150E-10 8.7252E-10 7.5197E-14 0.0000E+00
8.0090E+09 4.0380E+08 1.5000E+02 0.0000E+00 1.0081E-07 4.8645E-13 0.0000E+00 1.6752E-12 3.1108E-14 1.0533E-14 9.6535E-09 1.4165E-07 5.2189E-07 7.8316E-06 8.3441E-08 1.0841E-04 1.1679E-05 3.1446E-04 5.2735E-01 3.9765E-02 8.3797E-05 2.7622E-10 0.0000E+00 0.0000E+00 4.3218E-01 0.0000E+00 0.0000E+00 2.0976E-11 2.2566E-10 7.0910E-10 6.5234E-14 0.0000E+00
8.1550E+09 4.1350E+08 1.4340E+02 0.0000E+00 1.1233E-07 4.9950E-13 0.0000E+00 1.6804E-12 3.3933E-14 1.0350E-14 6.5780E-09 1.0330E-07 4.0479E-07 6.4665E-06 7.3095E-08 9.4251E-05 9.5769E-06 2.9372E-04 5.5367E-01 4.0042E-02 7.3866E-05 2.3566E-10 0.0000E+00 0.0000E+00 4.0565E-01 0.0000E+00 0.0000E+00 1.5139E-11 1.7364E-10 5.5936E-10 5.5187E-14 0.0000E+00
8.3010E+09 4.1950E+08 1.3990E+02 0.0000E+00 1.2605E-07 5.1542E-13 0.0000E+00 1.6752E-12 3.7087E-14 1.0616E-14 4.2267E-09 7.1748E-08 3.0122E-07 5.1634E-06 6.2476E-08 8.0947E-05 7.8465E-06 2.7384E-04 5.7904E-01 4.0236E-02 6.5200E-05 2.0124E-10 0.0000E+00 0.0000E+00 3.8016E-01 0.0000E+00 0.0000E+00 1.0389E-11 1.2826E-10 4.2753E-10 4.5562E-14 0.0000E+00
